h3_index,violation_count,severity_mean,severity_sum,hour_peak,hour_std,weekday_pct,vehicle_diversity,top_violation,top_vehicle,police_station,unique_vehicles,recurrence_score,lat,lng
8960145b307ffff,2524,0.7758320126782885,1958.2,10,3.756666731991093,0.6303486529318542,13,WRONG PARKING,CAR,Malleshwaram,2208,0.08786231884057971,13.007469925642374,77.55417907160238
8960145a24fffff,2514,0.8760540970564837,2202.4,11,3.0072546255355515,0.7255369928400954,14,NO PARKING,SCOOTER,Magadi Road,2240,0.09642857142857143,12.973287826618714,77.54999956782973
8960145b2a7ffff,2498,0.7732185748598879,1931.5,7,2.723816945959953,0.6325060048038431,15,WRONG PARKING,CAR,Malleshwaram,2129,0.08360732738374824,13.007417927733565,77.57102461180281
8960145b5c7ffff,2394,0.7760233918128655,1857.8,9,3.3384450289067455,0.7456140350877193,15,WRONG PARKING,SCOOTER,City Market,2018,0.10158572844400396,12.970000833394062,77.57460972111427
8960145b55bffff,2213,0.7897876186172617,1747.8,1,4.018436036511091,0.6656122910076819,18,WRONG PARKING,CAR,Upparpet,1864,0.1046137339055794,12.979613223528302,77.57657585825223
8960145b377ffff,2163,0.7935275080906148,1716.3999999999999,10,3.1391120118395666,0.5857605177993528,17,WRONG PARKING,CAR,Malleshwaram,1733,0.1298326601269475,13.012818011780556,77.55246351391641
8960145b4cbffff,2009,0.7741164758586362,1555.2,4,2.7411459755788568,0.8193130910900945,13,WRONG PARKING,SCOOTER,Shivajinagar,1005,0.28258706467661693,12.98167451890872,77.59947811999245
8960145b16bffff,1891,0.7577472236911686,1432.8999999999999,8,3.1870437370533278,0.7451084082496033,13,WRONG PARKING,SCOOTER,Vijayanagara,1524,0.1062992125984252,12.996799481813879,77.54918850116988
8961892e387ffff,1837,0.7391943385955363,1357.9,1,3.394851733695432,0.7920522591181274,19,NO PARKING,PASSENGER AUTO,Banaswadi,1668,0.07074340527577938,12.999583246892685,77.67625343565611
8961892c9d7ffff,1754,0.8591220068415052,1506.9,3,3.568107242119936,0.7035347776510832,11,NO PARKING,SCOOTER,Hebbala,1366,0.16251830161054173,13.035144005155646,77.5907477030071
8960145b6a7ffff,1637,0.7114844227244961,1164.7,3,2.7109919167889687,0.7171655467318265,11,WRONG PARKING,SCOOTER,High ground,746,0.32171581769436997,12.99240244249606,77.587621962968
8960145a223ffff,1590,0.7265408805031447,1155.2,11,3.9646362651645015,0.6188679245283019,16,WRONG PARKING,SCOOTER,Vijayanagara,1451,0.06891798759476224,12.9637041207288,77.53961509431802
8961892e9a3ffff,1577,0.8019023462270133,1264.6,10,2.521615511057906,0.6537729866835764,14,NO PARKING,SCOOTER,Shivajinagar,1135,0.14273127753303966,12.97844134799895,77.60724811631391
89618920963ffff,1509,0.5436713055003314,820.4,8,2.309807685158353,0.7998674618952949,18,PARKING IN A MAIN ROAD,CAR,HAL Old Airport,1427,0.053258584442887176,12.94069311529191,77.69512487563676
8960145b58bffff,1451,0.7235699517574088,1049.9,11,4.282996556981758,0.6237077877325982,14,WRONG PARKING,PASSENGER AUTO,Chamarajpet,1240,0.11290322580645161,12.966796715509812,77.57395437899618
8960145b3b7ffff,1429,0.7142057382785164,1020.5999999999999,8,2.6948412547679244,0.6242127361791463,13,WRONG PARKING,SCOOTER,Malleshwaram,1213,0.07007419620774938,12.997858688504897,77.55221395118276
89618925b2bffff,1425,0.7193684210526315,1025.1,11,3.663732675575018,0.6687719298245614,16,WRONG PARKING,SCOOTER,City Market,1197,0.1111111111111111,12.959301336693967,77.57804041970552
8960145b073ffff,1410,0.7798581560283687,1099.6,10,2.083682855277252,0.6170212765957447,11,WRONG PARKING,CAR,Malleshwaram,1315,0.06463878326996197,12.998865016133278,77.5720847986004
89618925b6fffff,1407,0.7336886993603411,1032.3,10,3.938688722384538,0.6773276474769012,17,WRONG PARKING,SCOOTER,City Market,1247,0.07939053728949479,12.965709724440659,77.57935123577114
8961892cb7bffff,1406,0.7530583214793741,1058.8,11,2.8230595705166666,0.701280227596017,10,WRONG PARKING,SCOOTER,Kodigehalli,1172,0.11348122866894197,13.06935538079265,77.5865073615551
8960145b547ffff,1350,0.7905925925925925,1067.3,7,3.8346453350784793,0.674074074074074,12,NO PARKING,PASSENGER AUTO,Chamarajpet,1251,0.053557154276578735,12.97749564390411,77.5705236128301
89618925b63ffff,1329,0.7517682468021069,999.1,10,3.137670989724406,0.6418359668924003,17,WRONG PARKING,CAR,Halasuru Gate,1160,0.10258620689655172,12.963564041258365,77.58172203843483
89618920b0fffff,1318,0.8102427921092565,1067.9,11,3.66845342832165,0.7314112291350531,20,NO PARKING,SCOOTER,HAL Old Airport,1143,0.10411198600174978,12.957781055162462,77.701442892283
8961892e16bffff,1305,0.6195402298850575,808.5,10,3.8432225281756125,0.6697318007662836,21,PARKING IN A MAIN ROAD,SCOOTER,Mahadevapura,1113,0.10601976639712489,12.99640764193975,77.66716347604782
8960169052fffff,1286,0.7644634525660965,983.1,13,4.953233309132902,0.7130637636080871,11,NO PARKING,CAR,Chikkajala,1195,0.06610878661087866,13.182402701570084,77.67998407618401
8961892cb4fffff,1246,0.756581059390048,942.6999999999999,11,2.575045481436863,0.7158908507223114,8,WRONG PARKING,SCOOTER,Kodigehalli,1043,0.11217641418983701,13.070415490648262,77.58953492414777
8961892e3d3ffff,1188,0.7366161616161616,875.1,10,4.403283295548707,0.718013468013468,16,WRONG PARKING,CAR,K.R. Pura,1119,0.044682752457551385,13.005964636190964,77.68600190431579
8961892092bffff,1162,0.7521514629948365,874.0,3,2.5483930701589843,0.8924268502581756,19,NO PARKING,SCOOTER,HAL Old Airport,965,0.09533678756476684,12.936429615180558,77.69143727612253
8960145b1b7ffff,1137,0.7664907651715039,871.5,5,3.275199697473791,0.7695690413368513,16,WRONG PARKING,SCOOTER,Vijayanagara,963,0.1277258566978193,12.975432677542601,77.54762931624687
89618925453ffff,1137,0.8197009674582234,932.0,8,2.5081253367889973,0.8249780123131046,15,NO PARKING,CAR,HAL Old Airport,1048,0.07061068702290077,12.931108774035975,77.68472005396784
8961892c98bffff,1129,0.8729849424269265,985.6,4,3.5058692732705263,0.75022143489814,13,NO PARKING,CAR,Hebbala,935,0.11336898395721925,13.034084442603538,77.58772044162937
89618926397ffff,1122,0.742602495543672,833.1999999999999,12,2.58227710065351,0.5641711229946524,9,WRONG PARKING,SCOOTER,Electronic City,927,0.10355987055016182,12.840364438188738,77.64644298941454
8961892ec9bffff,1120,0.8785714285714286,984.0,7,3.271110815076298,0.7875,13,NO PARKING,SCOOTER,Jeevanbheemanagar,843,0.1423487544483986,12.971852714139537,77.6565059964633
